source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
ABRAMIS,BRAMA,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,STURIO,13.16,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ACIPENSER,TRANSMONTANUS,13.11,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALBURNUS,ALBURNUS,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,FALLAX,12.32,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,PSEUDOHARENGUS,13.2,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ALOSA,SAPIDISSIMA,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMBLOPLITES,RUPESTRIS,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NATALIS,13.25,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
AMEIURUS,NEBULOSUS,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ANGUILLA,11.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,JAPONICA,13.23,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,MARMORATA,11.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ANGUILLA,ROSTRATA,12.75,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BARBUS,BARBUS,13.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
BLICCA,BJOERKNA,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,AURATUS,13.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CARASSIUS,CARASSIUS,12.63,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLARIAS,GARIEPINUS,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,13.97,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ALBULA,12.24,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ARTEDI,10.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,11.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,10.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,13.08,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
