TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,CERNUA,ACERINA,,,13.34,WEB corpus
,NAUPLIUS,BALANUS,,,13.96,WEB corpus
,LONGIROSTRIS,BOSMINA,,,13.23,WEB corpus
,COMMERSONI,CATOSTOMUS,,,12.94,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.85,WEB corpus
,ARTEDII,COREGONUS,,,9.93,WEB corpus
,BAIRDI,COTTUS,,,11.68,WEB corpus
,VIRGINICA,CRASSOSTREA,,,13.67,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.93,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.93,WEB corpus
,PERCA,CYPRINIDAE,,,12.91,WEB corpus
,MAGNA,DAPHNIA,,,12.9,WEB corpus
,POLYMORPHA,DREISSENA,,,13.84,WEB corpus
,CANADENSIS,ELODEA,,,13.25,WEB corpus
,CRASSUM,EUBOTHRIUM,,,13.58,WEB corpus
,SALVELINI,EUBOTHRIUM,,,12.95,WEB corpus
,AURINIA,EUPHYDRYAS,,,13.99,WEB corpus
,COLUMNARE,FLAVOBACTERIUM,,,13.97,WEB corpus
,AFFINIS,GAMBUSA,,,13.23,WEB corpus
,HOLBROOKI,GAMBUSIA,,,13.09,WEB corpus
,BOSCI,GOBIOSOMA,,,13.59,WEB corpus
,CERNUA,GYMNOCEPHALUS,,,12.06,WEB corpus
,SALARIS,GYRODACTYLUS,,,13.8,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,WEB corpus
,MELA,ICTALURUS,,,12.9,WEB corpus
,NEBULOSUS,ICTALURUS,,,11.82,WEB corpus
,ROSENBERGII,MACROBRACHIUM,,,13.67,WEB corpus
,MARGARITIFERA,MARGARITIFERA,,,13.94,WEB corpus
,DOLOMIEUI,MICROPTERUS,,,12.41,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.75,WEB corpus
,MYKISS,ONCHORHYNCHUS,,,9.64,WEB corpus
,CLARKI,ONCORHYNCHUS,,,9.48,WEB corpus
,LENIUSCULUS,PACIFASTACUS,,,13.91,WEB corpus
,PECTINATUS,POTAMOGETON,,,13.01,WEB corpus
,GAIRDNERI,SALMO,,,11.45,WEB corpus
,MAXIMUS,SCOPHTHALMUS,,,13.91,WEB corpus
,LUCIOPERCA,STIZOSTEDION,,,12.69,WEB corpus
,VITREUM,STIZOSTEDION,,,13.21,WEB corpus
,GEORGIANUS,VIVIPARUS,,,13.99,WEB corpus
