TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,LUTRA,LUTRA, GENUS,VTO ontology,is_a,13.98,WEB corpus,both
 SPECIES,ORCA,ORCINUS, GENUS,VTO ontology,is_a,11.92,WEB corpus,both
 SPECIES,MARMORATA,ANGUILLA, GENUS,VTO ontology,is_a,11.63,WEB corpus,both
 SPECIES,ROSTRATA,ANGUILLA, GENUS,VTO ontology,is_a,12.68,WEB corpus,both
 SPECIES,JAPONICA,ANGUILLA, GENUS,VTO ontology,is_a,13.15,WEB corpus,both
 SPECIES,ANGUILLA,ANGUILLA, GENUS,VTO ontology,is_a,11.86,WEB corpus,both
 SPECIES,HARENGUS,CLUPEA, GENUS,VTO ontology,is_a,13.8,WEB corpus,both
 SPECIES,PSEUDOHARENGUS,ALOSA, GENUS,VTO ontology,is_a,13.19,WEB corpus,both
 SPECIES,GARIEPINUS,CLARIAS, GENUS,VTO ontology,is_a,13.85,WEB corpus,both
 SPECIES,GLANIS,SILURUS, GENUS,VTO ontology,is_a,13.91,WEB corpus,both
 SPECIES,PUNCTATUS,ICTALURUS, GENUS,VTO ontology,is_a,13.19,WEB corpus,both
 SPECIES,NEBULOSUS,AMEIURUS, GENUS,VTO ontology,is_a,13.06,WEB corpus,both
 SPECIES,LEUCISCUS,LEUCISCUS, GENUS,VTO ontology,is_a,12.97,WEB corpus,both
 SPECIES,ERYTHROPHTHALMUS,SCARDINIUS, GENUS,VTO ontology,is_a,13.83,WEB corpus,both
 SPECIES,BRAMA,ABRAMIS, GENUS,VTO ontology,is_a,13.9,WEB corpus,both
 SPECIES,TINCA,TINCA, GENUS,VTO ontology,is_a,13.92,WEB corpus,both
 SPECIES,RUTILUS,RUTILUS, GENUS,VTO ontology,is_a,10.435,WEB corpus,both
 SPECIES,CARPIO,CYPRINUS, GENUS,VTO ontology,is_a,12.204999999999998,WEB corpus,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.41,WEB corpus,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,13.86,WEB corpus,both
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.52,WEB corpus,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,13.31,WEB corpus,both
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,12.95,WEB corpus,both
