TAXRANK_target,target,source,TAXRANK_source,relations,score.1,data_source_y
,CERNUA,ACERINA,,,13.34,WEB corpus
,HARPAE,ACROPERUS,,,13.99,WEB corpus
,AEGYPTI,AEDES,,,13.51,WEB corpus
,SALMONICIDA,AEROMONAS,,,13.61,WEB corpus
,HETERODON,ALASMIDONTA,,,13.32,WEB corpus
,CRASSUS,ANGUILLICOLA,,,13.34,WEB corpus
,JORDANI,ANOPTICHTHYS,,,13.64,WEB corpus
,GRACILIS,APATEMON,,,13.67,WEB corpus
,MELANOSTOMA,APOLLONIA,,,13.73,WEB corpus
,AQUATICUS,ASELLUS,,,13.99,WEB corpus
,INDET,AUCHENORRHYNCHA,,,9.24,WEB corpus
,NAUPLIUS,BALANUS,,,13.96,WEB corpus
,SHARPEYI,BARBUS,,,12.21,WEB corpus
,CHYDORUS,BOSMINA,,,11.99,WEB corpus
,LONGIROSTRIS,BOSMINA,,,13.23,WEB corpus
,INDET,BRYOZOA,,,9.24,WEB corpus
,CALAMITA,BUFO,,,13.77,WEB corpus
,LONGIMANUS,BYTHOTREPHES,,,13.67,WEB corpus
,SAPIDUS,CALLINECTES,,,13.99,WEB corpus
,SALVELINI,CAPILLARIA,,,12.23,WEB corpus
,COMMERSONI,CATOSTOMUS,,,12.94,WEB corpus
,DEMERSUM,CERATOPHYLLUM,,,13.85,WEB corpus
,INDET,CERATOPOGONIDAE,,,9.23,WEB corpus
,PENGOI,CERCOPAGIS,,,13.99,WEB corpus
,CERNUA,CERNUUS,,,11.94,WEB corpus
,TOMENTOSA,CHARA,,,13.06,WEB corpus
,INDET,CHIRONOMIDAE,,,9.17,WEB corpus
,INDET,CHIRONOMINAE,,,9.24,WEB corpus
,INDET,CHIRONOMINI,,,9.24,WEB corpus
,PLUMOSUS,CHIRONOMUS,,,12.88,WEB corpus
,TRUTTAE,CHLOROMYXUM,,,12.03,WEB corpus
,TOXOSTOMA,CHONDROSTOMA,,,12.19,WEB corpus
,INDET,CHRYSOMELIDAE,,,9.23,WEB corpus
,AURATUS,CHRYSOPHRYS,,,11.23,WEB corpus
,SPHAERICUS,CHYDORUS,,,13.89,WEB corpus
,INDET,CLADOCERA,,,10.2,WEB corpus
,MARGINATUM,CLINOSTOMUM,,,13.33,WEB corpus
,SINENSIS,CLONORCHIS,,,13.23,WEB corpus
,INDET,COLEOPTERA,,,9.17,WEB corpus
,INDET,COPEPODA,,,9.24,WEB corpus
,ARTEDII,COREGONUS,,,9.93,WEB corpus
,VOLUTATOR,COROPHIUM,,,13.99,WEB corpus
,BAIRDI,COTTUS,,,11.68,WEB corpus
,INDET,CRANGONYCTIDAE,,,9.24,WEB corpus
,VIRGINICA,CRASSOSTREA,,,13.67,WEB corpus
,FARIONIS,CREPIDOSTOMUM,,,13.51,WEB corpus
,FLUVIATILIS,CYPRINIDAE,,,12.93,WEB corpus
,LUCIUS,CYPRINIDAE,,,12.93,WEB corpus
,PERCA,CYPRINIDAE,,,12.91,WEB corpus
,HYALINA,DAPHNIA,,,11.56,WEB corpus
,LONGISPINA,DAPHNIA,,,11.81,WEB corpus
,MAGNA,DAPHNIA,,,12.9,WEB corpus
,PULEX,DAPHNIA,,,11.25,WEB corpus
,DENDRITICUM,DIPHYLLOBOTHRIUM,,,13.28,WEB corpus
,LATUM,DIPHYLLOBOTHRIUM,,,12.86,WEB corpus
,INDET,DIPTERA,,,9.16,WEB corpus
,BUGENSIS,DREISSENA,,,11.93,WEB corpus
,POLYMORPHA,DREISSENA,,,13.84,WEB corpus
,MELANOGASTER,DROSOPHILA,,,13.86,WEB corpus
,DISPAR,ECDYONURUS,,,13.41,WEB corpus
,SPHACELATA,ELEOCHARIS,,,13.54,WEB corpus
,COMPLANATA,ELLIPTIO,,,13.41,WEB corpus
,CANADENSIS,ELODEA,,,13.25,WEB corpus
,NUTTALLII,ELODEA,,,12.6,WEB corpus
,INDET,ENCHYTRAEIDAE,,,9.24,WEB corpus
,TRIDENTATUS,ENTOSPHENUS,,,13.51,WEB corpus
,DRIFTWOODENSIS,EOSALMO,,,13.99,WEB corpus
,INDET,EPHEMEROPTERA,,,9.24,WEB corpus
,SINENSIS,ERIOCHEIR,,,13.23,WEB corpus
,CRASSUM,EUBOTHRIUM,,,13.58,WEB corpus
,SALVELINI,EUBOTHRIUM,,,12.95,WEB corpus
,AURINIA,EUPHYDRYAS,,,13.99,WEB corpus
,LAMELLATUS,EURYCERCUS,,,13.94,WEB corpus
,SYLVATICA,FAGUS,,,13.99,WEB corpus
,RESOURCES,FISHERIES,,,12.84,WEB corpus
,COLUMNARE,FLAVOBACTERIUM,,,13.97,WEB corpus
,AFFINIS,GAMBUSA,,,13.23,WEB corpus
,HOLBROOKI,GAMBUSIA,,,13.09,WEB corpus
,LACUSTRIS,GAMMARUS,,,12.84,WEB corpus
,PULEX,GAMMARUS,,,12.88,WEB corpus
,INDET,GASTROPODA,,,9.18,WEB corpus
,NEMATODA,GASTROPODA,,,13.19,WEB corpus
,BOSCI,GOBIOSOMA,,,13.59,WEB corpus
,TESTUDINARIA,GRAPTOLEBERIS,,,13.99,WEB corpus
,PORTENTOSA,GROMPHADORHINA,,,13.99,WEB corpus
,CERNUA,GYMNOCEPHALUS,,,12.06,WEB corpus
,SALARIS,GYRODACTYLUS,,,13.8,WEB corpus
,INDET,HELOBDELLA,,,9.24,WEB corpus
,ANOMALA,HEMIMYSIS,,,13.86,WEB corpus
,SALMINICOLA,HENNEGUYA,,,13.99,WEB corpus
,INDET,HEPTAGENIIDAE,,,9.23,WEB corpus
,ANGUILLAE,HERPESVIRUS,,,13.35,WEB corpus
,INDET,HEXAGENIA,,,9.24,WEB corpus
,GIBBERUM,HOLOPEDIUM,,,13.99,WEB corpus
,VERTICILLATA,HYDRILLA,,,13.97,WEB corpus
,INDET,HYDROPTILIDAE,,,9.23,WEB corpus
,MELA,ICTALURUS,,,12.9,WEB corpus
,NEBULOSUS,ICTALURUS,,,11.82,WEB corpus
,INDET,INSECTA,,,9.23,WEB corpus
,COCHLEARIS,KERATELLA,,,13.58,WEB corpus
,DECORATA,LASMIGONA,,,13.77,WEB corpus
,SYMMETRICUS,LAVINIA,,,12.86,WEB corpus
,SALMONIS,LEPEOPHTHEIRUS,,,13.99,WEB corpus
,INDET,LEPTOCERIDAE,,,9.24,WEB corpus
,ASPIUS,LEUCISCUS,,,10.24,WEB corpus
,INDET,LIMBATA,,,9.24,WEB corpus
,INDET,LIMNODRILUS,,,9.24,WEB corpus
,VANNAMEI,LITOPENAEUS,,,13.07,WEB corpus
,INDET,LUMBRICULIDAE,,,9.24,WEB corpus
,PEREGRA,LYMNAEA,,,13.41,WEB corpus
,INDET,LYMNAEIDAE,,,9.24,WEB corpus
,BALTHICA,MACOMA,,,13.99,WEB corpus
,ROSENBERGII,MACROBRACHIUM,,,13.67,WEB corpus
,MARGARITIFERA,MARGARITIFERA,,,13.94,WEB corpus
,TUBERCULATA,MELANOIDES,,,13.83,WEB corpus
,MERCENARIA,MERCENARIA,,,13.99,WEB corpus
,EDAX,MESOCYCLOPS,,,13.32,WEB corpus
,DOLOMIEUI,MICROPTERUS,,,12.41,WEB corpus
,NORVEGICA,MICROSETELLA,,,13.77,WEB corpus
,NEMATODA,MOLLUSCA,,,12.49,WEB corpus
,GYRODACTYLIDAE,MONOGENEA,,,13.79,WEB corpus
,THOMPSONI,MYOXOCEPHALUS,,,11.7,WEB corpus
,SPICATUM,MYRIOPHYLLUM,,,13.75,WEB corpus
,VARIIFOLIUM,MYRIOPHYLLUM,,,11.48,WEB corpus
,DILUVIANA,MYSIS,,,13.24,WEB corpus
,RELICTA,MYSIS,,,13.24,WEB corpus
,EDULIS,MYTILUS,,,13.55,WEB corpus
,TRUTTAE,MYXIDIUM,,,12.03,WEB corpus
,ARCTICUS,MYXOBOLUS,,,10.73,WEB corpus
,INDET,NAIDIDAE,,,9.24,WEB corpus
,INDET,NAIDINAE,,,9.24,WEB corpus
